Improving Parameter,Worsening Parameter,Inventive Principles
40 Other Harmful Effects Acting on System,22 Temperature,IP #35 and IP #31 and IP #33 and IP #17 and IP #12 and IP #40 and IP #2 and IP #5
40 Other Harmful Effects Acting on System,23 Illumination Intensity,IP #35 and IP #1 and IP #13 and IP #32 and IP #19 and IP #5 and IP #40 and IP #28 and IP #25
40 Other Harmful Effects Acting on System,24 Function Efficiency,IP #2 and IP #3 and IP #35 and IP #28 and IP #10 and IP #19 and IP #5 and IP #4
40 Other Harmful Effects Acting on System,25 Loss of Substance,IP #40 and IP #3 and IP #4 and IP #24 and IP #12 and IP #34 and IP #33 and IP #35
40 Other Harmful Effects Acting on System,26 Loss of Time,IP #18 and IP #3 and IP #24 and IP #23 and IP #35 and IP #40 and IP #10 and IP #12 and IP #32
40 Other Harmful Effects Acting on System,27 Loss of Energy,IP #35 and IP #24 and IP #21 and IP #2 and IP #30 and IP #17 and IP #3 and IP #4
40 Other Harmful Effects Acting on System,28 Loss of Information,IP #32 and IP #10 and IP #25 and IP #2 and IP #7 and IP #3 and IP #31 and 
40 Other Harmful Effects Acting on System,29 Noise,IP #31 and IP #1 and IP #17 and IP #14 and IP #35 and IP #3 and IP #7
40 Other Harmful Effects Acting on System,30 Harmful Emissions,IP #24 and IP #35 and IP #18 and IP #1 and IP #32 and IP #40 and 
40 Other Harmful Effects Acting on System,31 Other Harmful Effects Generated by System,IP #35 and IP #3 and IP #13 and IP #24 and IP #17 and IP #4 and IP #32 and IP #40 and IP #18
40 Other Harmful Effects Acting on System,32 Adaptability / Versatility,IP #35 and IP #15 and IP #31 and IP #30 and IP #4 and IP #11 and IP #16 and IP #40
40 Other Harmful Effects Acting on System,33 Compatibility / Connectability,IP #17 and IP #24 and IP #2 and IP #5 and IP #7 and IP #3
40 Other Harmful Effects Acting on System,34 Trainability / Operability / Controllability,IP #25 and IP #28 and IP #3 and IP #15 and IP #10 and IP #4 and IP #6 and IP #2 and IP #31
40 Other Harmful Effects Acting on System,35 Reliability / Robustness,IP #35 and IP #4 and IP #24 and IP #17 and IP #40 and IP #2 and IP #28 and IP #5 and IP #14
40 Other Harmful Effects Acting on System,36 Repairability,IP #10 and IP #3 and IP #14 and IP #25 and IP #27 and IP #5 and IP #4
40 Other Harmful Effects Acting on System,37 Security,IP #3 and IP #24 and IP #7 and IP #14 and IP #2 and IP #5 and IP #13 and IP #17
40 Other Harmful Effects Acting on System,38 Safety / Vulnerability,IP #3 and IP #15 and IP #19 and IP #32 and IP #9 and IP #14 and IP #35 and IP #5 and IP #24
40 Other Harmful Effects Acting on System,39 Aesthetics / Appearance,IP #30 and IP #24 and IP #32 and IP #17 and IP #13 and IP #3 and IP #2
40 Other Harmful Effects Acting on System,40 Other Harmful Effects Acting on System,see physical contradiction
40 Other Harmful Effects Acting on System,41 Manufacturability,IP #35 and IP #24 and IP #1 and IP #40 and IP #3 and IP #39 and IP #4 and IP #13 and IP #17
40 Other Harmful Effects Acting on System,42 Manufacture Precision / Consistency,IP #28 and IP #1 and IP #10 and IP #18 and IP #26 and IP #23 and IP #12
40 Other Harmful Effects Acting on System,43 Automation,IP #10 and IP #3 and IP #34 and IP #4 and IP #23 and IP #33 and IP #1
40 Other Harmful Effects Acting on System,44 Productivity,IP #35 and IP #24 and IP #13 and IP #3 and IP #2 and IP #40 and IP #4 and IP #9 and IP #6
40 Other Harmful Effects Acting on System,45 System Complexity,IP #4 and IP #40 and IP #2 and IP #5 and IP #17 and IP #19 and IP #29 and IP #28
40 Other Harmful Effects Acting on System,46 Control Complexity,IP #1 and IP #25 and IP #37 and IP #24 and IP #9 and IP #28 and IP #26
40 Other Harmful Effects Acting on System,47 Ability to Detect / Measure,IP #5 and IP #1 and IP #17 and IP #18 and IP #32 and IP #40 and IP #28 and IP #39
40 Other Harmful Effects Acting on System,48 Measurement Precision,IP #5 and IP #37 and IP #18 and IP #32 and IP #4 and IP #28
41 Manufacturability,01 Weight of Moving Object,IP #28 and IP #1 and IP #8 and IP #15 and IP #5 and IP #3 and IP #29 and IP #13
41 Manufacturability,02 Weight of Stationary Object,IP #1 and IP #13 and IP #14 and IP #8 and IP #26 and IP #24 and IP #10 and IP #27 and IP #36
41 Manufacturability,03 Length / Angle of Moving Object,IP #14 and IP #13 and IP #1 and IP #17 and IP #15 and IP #10 and IP #2 and IP #29 and IP #5
41 Manufacturability,04 Length / Angle of Stationary Object,IP #13 and IP #17 and IP #14 and IP #15 and IP #4 and IP #29 and IP #2 and IP #27 and IP #37
41 Manufacturability,05 Area of Moving Object,IP #13 and IP #1 and IP #26 and IP #17 and IP #12 and IP #4 and IP #2 and IP #16 and IP #30
41 Manufacturability,06 Area of Stationary Object,IP #1 and IP #3 and IP #16 and IP #26 and IP #13 and IP #40 and IP #18 and IP #30
41 Manufacturability,07 Volume of Moving Object,IP #13 and IP #1 and IP #7 and IP #30 and IP #3 and IP #35 and IP #40 and IP #29
41 Manufacturability,08 Volume of Stationary Object,IP #1 and IP #35 and IP #15 and IP #38 and IP #36 and IP #2 and IP #3
41 Manufacturability,09 Shape,IP #29 and IP #13 and IP #1 and IP #16 and IP #28 and IP #30 and IP #24 and IP #27 and IP #35
41 Manufacturability,10 Amount of Substance,IP #35 and IP #16 and IP #1 and IP #31 and IP #24 and IP #30 and IP #27 and IP #29 and IP #23
41 Manufacturability,11 Amount of Information,IP #6 and IP #2 and IP #10 and IP #7 and IP #15 and IP #13 and IP #1
41 Manufacturability,12 Duration of Action of Moving Object,IP #10 and IP #1 and IP #37 and IP #4 and IP #21 and IP #12 and IP #27 and IP #13
41 Manufacturability,13 Duration of Action of Stationary Object,IP #10 and IP #1 and IP #16 and IP #35 and IP #37 and IP #3 and IP #13 and IP #38
41 Manufacturability,14 Speed,IP #35 and IP #13 and IP #1 and IP #28 and IP #2 and IP #8 and IP #15 and IP #4
41 Manufacturability,15 Force / Torque,IP #35 and IP #12 and IP #28 and IP #29 and IP #1 and IP #10 and IP #3 and IP #13 and IP #2
41 Manufacturability,16 Energy Used by Moving Object,IP #28 and IP #1 and IP #10 and IP #26 and IP #35 and IP #39 and IP #19
41 Manufacturability,17 Energy Used by Stationary Object,IP #28 and IP #1 and IP #10 and IP #26 and IP #4 and IP #19 and IP #35
41 Manufacturability,18 Power,IP #28 and IP #12 and IP #24 and IP #19 and IP #1 and IP #21 and IP #10
41 Manufacturability,19 Stress / Pressure,IP #35 and IP #10 and IP #1 and IP #19 and IP #21 and IP #12 and IP #13 and IP #22
41 Manufacturability,20 Strength,IP #3 and IP #35 and IP #1 and IP #24 and IP #33 and IP #10 and IP #30
41 Manufacturability,21 Stability,IP #1 and IP #11 and IP #3 and IP #13 and IP #39 and IP #33 and IP #24 and IP #9
41 Manufacturability,22 Temperature,IP #10 and IP #24 and IP #35 and IP #18 and IP #2 and IP #36 and IP #26
41 Manufacturability,23 Illumination Intensity,IP #32 and IP #24 and IP #1 and IP #35 and IP #28 and IP #2 and IP #27 and IP #25
41 Manufacturability,24 Function Efficiency,IP #1 and IP #10 and IP #15 and IP #16 and IP #3 and IP #6 and IP #25
41 Manufacturability,25 Loss of Substance,IP #19 and IP #34 and IP #33 and IP #9 and IP #15 and IP #2 and IP #12 and IP #13
41 Manufacturability,26 Loss of Time,IP #3 and IP #4 and IP #35 and IP #15 and IP #20 and IP #28
41 Manufacturability,27 Loss of Energy,IP #19 and IP #35 and IP #2 and IP #13 and IP #10 and IP #24 and IP #16 and IP #15
41 Manufacturability,28 Loss of Information,IP #25 and IP #24 and IP #16 and IP #10 and IP #2 and IP #22 and IP #37 and IP #6
41 Manufacturability,29 Noise,IP #24 and IP #9 and IP #2 and IP #39 and IP #13 and IP #25 and IP #5
41 Manufacturability,30 Harmful Emissions,IP #35 and IP #10 and IP #5 and IP #36 and IP #21 and IP #24
41 Manufacturability,31 Other Harmful Effects Generated by System,IP #35 and IP #10 and IP #5 and IP #21 and IP #24 and IP #39 and IP #29 and IP #7
41 Manufacturability,32 Adaptability / Versatility,IP #1 and IP #3 and IP #25 and IP #13 and IP #15 and IP #30 and IP #19 and IP #29
41 Manufacturability,33 Compatibility / Connectability,IP #28 and IP #3 and IP #6 and IP #2 and IP #13 and IP #15
41 Manufacturability,34 Trainability / Operability / Controllability,IP #2 and IP #5 and IP #28 and IP #13 and IP #16 and IP #25 and IP #15
41 Manufacturability,35 Reliability / Robustness,IP #2 and IP #3 and IP #35 and IP #9 and IP #28 and IP #27 and IP #33
41 Manufacturability,36 Repairability,IP #1 and IP #35 and IP #13 and IP #23 and IP #25 and IP #27
41 Manufacturability,37 Security,IP #1 and IP #24 and IP #10 and IP #13 and IP #5
41 Manufacturability,38 Safety / Vulnerability,IP #6 and IP #35 and IP #28 and IP #9 and IP #1 and IP #24
41 Manufacturability,39 Aesthetics / Appearance,IP #30 and IP #24 and IP #16 and IP #32 and IP #3
41 Manufacturability,40 Other Harmful Effects Acting on System,IP #35 and IP #39 and IP #2 and IP #29 and IP #22 and IP #21 and IP #19 and IP #11 and IP #8
41 Manufacturability,41 Manufacturability,see physical contradiction
41 Manufacturability,42 Manufacture Precision / Consistency,IP #3 and IP #16 and IP #25 and IP #12 and IP #24
41 Manufacturability,43 Automation,IP #1 and IP #10 and IP #28 and IP #8 and IP #13 and IP #25
41 Manufacturability,44 Productivity,IP #1 and IP #13 and IP #15 and IP #14 and IP #5
41 Manufacturability,45 System Complexity,IP #27 and IP #26 and IP #1 and IP #5 and IP #10 and IP #9
41 Manufacturability,46 Control Complexity,IP #25 and IP #3 and IP #19 and IP #13 and IP #6 and IP #32 and IP #39
41 Manufacturability,47 Ability to Detect / Measure,IP #6 and IP #28 and IP #1 and IP #13 and IP #11 and IP #10
41 Manufacturability,48 Measurement Precision,IP #35 and IP #12 and IP #1 and IP #6 and IP #28 and IP #13 and IP #15 and IP #29
42 Manufacture Precision / Consistency,01 Weight of Moving Object,IP #13 and IP #8 and IP #18 and IP #28 and IP #16 and IP #24 and IP #26
42 Manufacture Precision / Consistency,02 Weight of Stationary Object,IP #35 and IP #28 and IP #9 and IP #17 and IP #31 and IP #26
42 Manufacture Precision / Consistency,03 Length / Angle of Moving Object,IP #3 and IP #17 and IP #28 and IP #10 and IP #29 and IP #37 and IP #24
42 Manufacture Precision / Consistency,04 Length / Angle of Stationary Object,IP #17 and IP #1 and IP #10 and IP #32 and IP #24 and IP #37 and IP #2
42 Manufacture Precision / Consistency,05 Area of Moving Object,IP #29 and IP #28 and IP #37 and IP #32 and IP #24 and IP #33
42 Manufacture Precision / Consistency,06 Area of Stationary Object,IP #29 and IP #18 and IP #36 and IP #37 and IP #32 and IP #2
42 Manufacture Precision / Consistency,07 Volume of Moving Object,IP #28 and IP #37 and IP #1 and IP #25 and IP #18 and IP #20 and IP #24
42 Manufacture Precision / Consistency,08 Volume of Stationary Object,IP #35 and IP #28 and IP #25 and IP #10 and IP #18 and IP #20 and IP #1
42 Manufacture Precision / Consistency,09 Shape,IP #30 and IP #13 and IP #10 and IP #32 and IP #12 and IP #21 and IP #40
42 Manufacture Precision / Consistency,10 Amount of Substance,IP #30 and IP #25 and IP #32 and IP #9 and IP #13 and IP #12 and IP #3 and IP #31
42 Manufacture Precision / Consistency,11 Amount of Information,IP #37 and IP #3 and IP #4 and IP #32 and IP #13 and IP #17
42 Manufacture Precision / Consistency,12 Duration of Action of Moving Object,IP #5 and IP #40 and IP #16 and IP #3 and IP #20 and IP #19
42 Manufacture Precision / Consistency,13 Duration of Action of Stationary Object,IP #5 and IP #4 and IP #17 and IP #18 and IP #3 and IP #30 and IP #24
42 Manufacture Precision / Consistency,14 Speed,IP #10 and IP #32 and IP #28 and IP #3 and IP #17 and IP #4 and IP #19
42 Manufacture Precision / Consistency,15 Force / Torque,IP #12 and IP #19 and IP #28 and IP #29 and IP #3 and IP #10 and IP #13
42 Manufacture Precision / Consistency,16 Energy Used by Moving Object,IP #2 and IP #26 and IP #32 and IP #3 and IP #19 and IP #21 and IP #13
42 Manufacture Precision / Consistency,17 Energy Used by Stationary Object,IP #2 and IP #26 and IP #21 and IP #13 and IP #19 and IP #3 and IP #17
42 Manufacture Precision / Consistency,18 Power,IP #2 and IP #32 and IP #21 and IP #16 and IP #3 and IP #19
42 Manufacture Precision / Consistency,19 Stress / Pressure,IP #35 and IP #3 and IP #12 and IP #13 and IP #17 and IP #29 and IP #32
42 Manufacture Precision / Consistency,20 Strength,IP #3 and IP #17 and IP #7 and IP #35 and IP #29 and IP #32
42 Manufacture Precision / Consistency,21 Stability,IP #24 and IP #35 and IP #33 and IP #18 and IP #3 and IP #16 and 
42 Manufacture Precision / Consistency,22 Temperature,IP #26 and IP #3 and IP #24 and IP #19 and IP #2 and IP #9
42 Manufacture Precision / Consistency,23 Illumination Intensity,IP #32 and IP #19 and IP #3 and IP #2 and IP #5 and IP #13
42 Manufacture Precision / Consistency,24 Function Efficiency,IP #3 and IP #10 and IP #14 and IP #40 and IP #7 and IP #13
42 Manufacture Precision / Consistency,25 Loss of Substance,IP #10 and IP #31 and IP #35 and IP #24 and IP #36 and IP #37 and IP #3
42 Manufacture Precision / Consistency,26 Loss of Time,IP #28 and IP #15 and IP #5 and IP #18 and IP #32 and IP #26
42 Manufacture Precision / Consistency,27 Loss of Energy,IP #2 and IP #16 and IP #13 and IP #32 and IP #35 and IP #29 and IP #3 and IP #31
42 Manufacture Precision / Consistency,28 Loss of Information,IP #13 and IP #10 and IP #2 and IP #34 and IP #7 and IP #1 and IP #24
42 Manufacture Precision / Consistency,29 Noise,IP #2 and IP #13 and IP #7 and IP #37 and IP #35 and IP #9 and IP #18
42 Manufacture Precision / Consistency,30 Harmful Emissions,IP #3 and IP #10 and IP #40 and IP #24 and IP #19
42 Manufacture Precision / Consistency,31 Other Harmful Effects Generated by System,IP #10 and IP #17 and IP #35 and IP #4 and IP #23 and IP #34 and IP #26 and IP #33
42 Manufacture Precision / Consistency,32 Adaptability / Versatility,IP #35 and IP #7 and IP #13 and IP #1 and IP #4 and IP #17 and IP #12
42 Manufacture Precision / Consistency,33 Compatibility / Connectability,IP #13 and IP #4 and IP #9 and IP #28 and IP #15 and IP #2 and IP #1
42 Manufacture Precision / Consistency,34 Trainability / Operability / Controllability,IP #19 and IP #3 and IP #1 and IP #32 and IP #35 and IP #2 and IP #25
42 Manufacture Precision / Consistency,35 Reliability / Robustness,IP #28 and IP #25 and IP #13 and IP #1 and IP #5 and IP #11
42 Manufacture Precision / Consistency,36 Repairability,IP #3 and IP #10 and IP #1 and IP #25 and IP #30 and IP #29
42 Manufacture Precision / Consistency,37 Security,IP #2 and IP #10 and IP #24 and IP #3 and IP #25
42 Manufacture Precision / Consistency,38 Safety / Vulnerability,IP #4 and IP #3 and IP #31 and IP #35 and IP #30
42 Manufacture Precision / Consistency,39 Aesthetics / Appearance,IP #2 and IP #3 and IP #17 and IP #32 and IP #7
42 Manufacture Precision / Consistency,40 Other Harmful Effects Acting on System,IP #10 and IP #28 and IP #9 and IP #23 and IP #2 and IP #24 and IP #33 and IP #35
42 Manufacture Precision / Consistency,41 Manufacturability,IP #25 and IP #13 and IP #24 and IP #15 and IP #19 and IP #26 and IP #28
42 Manufacture Precision / Consistency,42 Manufacture Precision / Consistency,see physical contradiction
42 Manufacture Precision / Consistency,43 Automation,IP #25 and IP #15 and IP #24 and IP #13 and IP #17 and IP #28 and IP #26
42 Manufacture Precision / Consistency,44 Productivity,IP #2 and IP #10 and IP #39 and IP #18 and IP #32 and IP #16 and IP #5 and IP #26
42 Manufacture Precision / Consistency,45 System Complexity,IP #2 and IP #16 and IP #18 and IP #26 and IP #3 and IP #4 and IP #28
42 Manufacture Precision / Consistency,46 Control Complexity,IP #28 and IP #25 and IP #37 and IP #10 and IP #26 and IP #7
42 Manufacture Precision / Consistency,47 Ability to Detect / Measure,IP #28 and IP #26 and IP #32 and IP #18 and IP #9 and IP #25
42 Manufacture Precision / Consistency,48 Measurement Precision,IP #28 and IP #32 and IP #18 and IP #9 and IP #3 and IP #25
43 Automation,01 Weight of Moving Object,IP #28 and IP #13 and IP #12 and IP #35 and IP #18 and IP #14 and IP #31
43 Automation,02 Weight of Stationary Object,IP #28 and IP #12 and IP #35 and IP #10 and IP #13 and IP #26
43 Automation,03 Length / Angle of Moving Object,IP #17 and IP #28 and IP #13 and IP #12 and IP #14 and IP #4 and IP #25
43 Automation,04 Length / Angle of Stationary Object,IP #17 and IP #28 and IP #13 and IP #4 and IP #12 and IP #6
43 Automation,05 Area of Moving Object,IP #13 and IP #17 and IP #14 and IP #12 and IP #4 and IP #26 and IP #5
43 Automation,06 Area of Stationary Object,IP #13 and IP #26 and IP #17 and IP #4 and IP #12 and IP #5
43 Automation,07 Volume of Moving Object,IP #26 and IP #13 and IP #35 and IP #16 and IP #7 and IP #24
43 Automation,08 Volume of Stationary Object,IP #26 and IP #13 and IP #35 and IP #31 and IP #16 and IP #24
43 Automation,09 Shape,IP #13 and IP #24 and IP #10 and IP #15 and IP #16 and IP #1 and IP #28
43 Automation,10 Amount of Substance,IP #26 and IP #31 and IP #35 and IP #13 and IP #3 and IP #23
43 Automation,11 Amount of Information,IP #37 and IP #4 and IP #5 and IP #24 and IP #10
43 Automation,12 Duration of Action of Moving Object,IP #19 and IP #9 and IP #16 and IP #6 and IP #13 and IP #10 and IP #37
43 Automation,13 Duration of Action of Stationary Object,IP #25 and IP #10 and IP #16 and IP #2 and IP #37 and IP #13 and IP #24
43 Automation,14 Speed,IP #10 and IP #28 and IP #25 and IP #19 and IP #3 and IP #37
43 Automation,15 Force / Torque,IP #12 and IP #35 and IP #8 and IP #4 and IP #13 and IP #10 and IP #1
43 Automation,16 Energy Used by Moving Object,IP #1 and IP #13 and IP #30 and IP #2 and IP #35 and IP #4
43 Automation,17 Energy Used by Stationary Object,IP #1 and IP #2 and IP #35 and IP #13 and IP #38
43 Automation,18 Power,IP #2 and IP #12 and IP #26 and IP #28 and IP #8 and IP #6
43 Automation,19 Stress / Pressure,IP #35 and IP #1 and IP #12 and IP #13 and IP #24 and IP #17 and IP #4
43 Automation,20 Strength,IP #13 and IP #35 and IP #9 and IP #1 and IP #17 and IP #7
43 Automation,21 Stability,IP #1 and IP #13 and IP #3 and IP #39 and IP #18 and IP #17 and IP #24
43 Automation,22 Temperature,IP #2 and IP #19 and IP #26 and IP #35 and IP #22 and IP #36 and IP #34
43 Automation,23 Illumination Intensity,IP #19 and IP #13 and IP #32 and IP #2 and IP #24
43 Automation,24 Function Efficiency,IP #17 and IP #3 and IP #2 and IP #28 and IP #19 and IP #29 and IP #15
43 Automation,25 Loss of Substance,IP #10 and IP #4 and IP #24 and IP #5 and IP #35 and IP #3 and IP #12 and IP #18
43 Automation,26 Loss of Time,IP #15 and IP #28 and IP #35 and IP #24 and IP #29 and IP #31 and IP #2 and IP #5
43 Automation,27 Loss of Energy,IP #28 and IP #21 and IP #3 and IP #13 and IP #34 and IP #24
43 Automation,28 Loss of Information,IP #5 and IP #3 and IP #28 and IP #33 and IP #35 and IP #24 and IP #25
43 Automation,29 Noise,IP #31 and IP #14 and IP #9 and IP #12 and IP #24 and IP #13 and IP #3
43 Automation,30 Harmful Emissions,IP #1 and IP #24 and IP #23 and IP #35 and IP #21 and IP #13 and IP #3 and IP #4
43 Automation,31 Other Harmful Effects Generated by System,IP #24 and IP #2 and IP #11 and IP #3 and IP #23 and IP #19 and IP #7
43 Automation,32 Adaptability / Versatility,IP #28 and IP #1 and IP #29 and IP #10 and IP #12 and IP #4 and IP #14 and IP #35
43 Automation,33 Compatibility / Connectability,IP #6 and IP #13 and IP #2 and IP #3 and IP #17 and IP #10
43 Automation,34 Trainability / Operability / Controllability,IP #5 and IP #25 and IP #21 and IP #10 and IP #23 and IP #17 and IP #3 and IP #12 and IP #1
43 Automation,35 Reliability / Robustness,IP #12 and IP #28 and IP #23 and IP #7 and IP #35 and IP #31
43 Automation,36 Repairability,IP #13 and IP #35 and IP #4 and IP #2 and IP #28 and IP #37 and IP #17
43 Automation,37 Security,IP #25 and IP #13 and IP #28 and IP #2 and IP #10 and IP #7
43 Automation,38 Safety / Vulnerability,IP #31 and IP #30 and IP #16 and IP #39 and IP #24 and IP #40 and IP #5
43 Automation,39 Aesthetics / Appearance,IP #3 and IP #16 and IP #22 and IP #35 and IP #9 and IP #2
43 Automation,40 Other Harmful Effects Acting on System,IP #2 and IP #25 and IP #1 and IP #23 and IP #33 and IP #13 and IP #24 and IP #29 and IP #3
43 Automation,41 Manufacturability,IP #1 and IP #13 and IP #12 and IP #26 and IP #21 and IP #10
43 Automation,42 Manufacture Precision / Consistency,IP #25 and IP #28 and IP #26 and IP #3 and IP #17 and IP #12 and IP #18 and IP #4
43 Automation,43 Automation,see physical contradiction
43 Automation,44 Productivity,IP #12 and IP #26 and IP #2 and IP #5 and IP #35 and IP #15 and IP #10
43 Automation,45 System Complexity,IP #15 and IP #24 and IP #28 and IP #10 and IP #13 and IP #4 and IP #17
43 Automation,46 Control Complexity,IP #28 and IP #3 and IP #4 and IP #17 and IP #37
43 Automation,47 Ability to Detect / Measure,IP #25 and IP #17 and IP #1 and IP #27 and IP #28
43 Automation,48 Measurement Precision,IP #13 and IP #24 and IP #28 and IP #25 and IP #10 and IP #32
44 Productivity,01 Weight of Moving Object,IP #35 and IP #24 and IP #8 and IP #13 and IP #2 and IP #37 and IP #30 and IP #31
44 Productivity,02 Weight of Stationary Object,IP #35 and IP #13 and IP #28 and IP #1 and IP #8 and IP #3 and IP #15
44 Productivity,03 Length / Angle of Moving Object,IP #17 and IP #4 and IP #18 and IP #35 and IP #28 and IP #14 and IP #38
44 Productivity,04 Length / Angle of Stationary Object,IP #14 and IP #7 and IP #17 and IP #19 and IP #3 and IP #1 and IP #35 and IP #30
44 Productivity,05 Area of Moving Object,IP #35 and IP #1 and IP #10 and IP #31 and IP #26 and IP #17 and IP #34 and IP #16
44 Productivity,06 Area of Stationary Object,IP #10 and IP #7 and IP #35 and IP #17 and IP #3 and IP #4 and IP #30
44 Productivity,07 Volume of Moving Object,IP #3 and IP #12 and IP #10 and IP #2 and IP #6 and IP #34 and IP #19 and IP #24
44 Productivity,08 Volume of Stationary Object,IP #35 and IP #10 and IP #1 and IP #2 and IP #13 and IP #5 and IP #37 and IP #24 and IP #3
44 Productivity,09 Shape,IP #13 and IP #1 and IP #17 and IP #36 and IP #10 and IP #30 and IP #16
44 Productivity,10 Amount of Substance,IP #35 and IP #3 and IP #2 and IP #25 and IP #9 and IP #19 and IP #13
44 Productivity,11 Amount of Information,IP #2 and IP #24 and IP #25 and IP #7 and IP #23 and IP #13 and IP #10
44 Productivity,12 Duration of Action of Moving Object,IP #10 and IP #3 and IP #5 and IP #18 and IP #2 and IP #35 and IP #13 and IP #17
44 Productivity,13 Duration of Action of Stationary Object,IP #1 and IP #35 and IP #18 and IP #9 and IP #3 and IP #16 and IP #24 and IP #20 and IP #38
44 Productivity,14 Speed,IP #35 and IP #3 and IP #24 and IP #5 and IP #4 and IP #12 and IP #13 and IP #19
44 Productivity,15 Force / Torque,IP #10 and IP #15 and IP #12 and IP #22 and IP #40 and IP #35 and IP #28 and IP #36
44 Productivity,16 Energy Used by Moving Object,IP #19 and IP #5 and IP #35 and IP #38 and IP #9 and IP #13 and IP #3
44 Productivity,17 Energy Used by Stationary Object,IP #1 and IP #19 and IP #3 and IP #5 and IP #35 and IP #13 and IP #4
44 Productivity,18 Power,IP #10 and IP #35 and IP #28 and IP #38 and IP #19 and IP #15 and IP #24 and IP #5
44 Productivity,19 Stress / Pressure,IP #3 and IP #14 and IP #9 and IP #37 and IP #1 and IP #28 and IP #13
44 Productivity,20 Strength,IP #3 and IP #35 and IP #5 and IP #10 and IP #40 and IP #28 and IP #29 and IP #18
44 Productivity,21 Stability,IP #24 and IP #35 and IP #3 and IP #4 and IP #39 and IP #12 and IP #25
44 Productivity,22 Temperature,IP #35 and IP #28 and IP #21 and IP #36 and IP #10 and IP #3 and IP #40 and IP #31
44 Productivity,23 Illumination Intensity,IP #1 and IP #24 and IP #19 and IP #31 and IP #26 and IP #17 and IP #32
44 Productivity,24 Function Efficiency,IP #2 and IP #13 and IP #10 and IP #3 and IP #29 and IP #28 and IP #24
44 Productivity,25 Loss of Substance,IP #35 and IP #12 and IP #2 and IP #34 and IP #14 and IP #3 and IP #24 and IP #9 and IP #5
44 Productivity,26 Loss of Time,IP #10 and IP #3 and IP #6 and IP #24 and IP #34 and IP #1 and IP #7
44 Productivity,27 Loss of Energy,IP #28 and IP #35 and IP #15 and IP #14 and IP #9 and IP #5 and IP #19 and IP #24
44 Productivity,28 Loss of Information,IP #10 and IP #2 and IP #3 and IP #24 and IP #25 and IP #13 and IP #4 and IP #37
44 Productivity,29 Noise,IP #9 and IP #14 and IP #1 and IP #2 and IP #31 and IP #4 and IP #17
44 Productivity,30 Harmful Emissions,IP #35 and IP #25 and IP #13 and IP #2 and IP #34 and IP #21
44 Productivity,31 Other Harmful Effects Generated by System,IP #24 and IP #39 and IP #13 and IP #35 and IP #3 and IP #40 and IP #5 and IP #17 and IP #18
44 Productivity,32 Adaptability / Versatility,IP #28 and IP #15 and IP #29 and IP #35 and IP #1 and IP #10 and IP #17 and IP #40 and IP #36
44 Productivity,33 Compatibility / Connectability,IP #10 and IP #2 and IP #13 and IP #28 and IP #24 and IP #1
44 Productivity,34 Trainability / Operability / Controllability,IP #28 and IP #7 and IP #26 and IP #24 and IP #10 and IP #1 and IP #35 and IP #25 and IP #15
44 Productivity,35 Reliability / Robustness,IP #3 and IP #1 and IP #35 and IP #10 and IP #14 and IP #24 and IP #39 and IP #9
44 Productivity,36 Repairability,IP #1 and IP #25 and IP #9 and IP #2 and IP #13 and IP #17 and IP #32
44 Productivity,37 Security,IP #10 and IP #24 and IP #1 and IP #28 and IP #7
44 Productivity,38 Safety / Vulnerability,IP #10 and IP #39 and IP #1 and IP #18 and IP #31 and IP #24
44 Productivity,39 Aesthetics / Appearance,IP #2 and IP #13 and IP #22 and IP #1 and IP #17 and IP #7
44 Productivity,40 Other Harmful Effects Acting on System,IP #35 and IP #13 and IP #24 and IP #33 and IP #40 and IP #2 and IP #11 and IP #14
44 Productivity,41 Manufacturability,IP #1 and IP #10 and IP #24 and IP #35 and IP #28 and IP #6 and IP #19
44 Productivity,42 Manufacture Precision / Consistency,IP #3 and IP #32 and IP #26 and IP #18 and IP #1 and IP #25 and IP #35
44 Productivity,43 Automation,IP #10 and IP #5 and IP #12 and IP #26 and IP #35 and IP #4 and IP #13
44 Productivity,44 Productivity,see physical contradiction
44 Productivity,45 System Complexity,IP #6 and IP #12 and IP #10 and IP #1 and IP #28 and IP #27 and IP #17 and IP #31
44 Productivity,46 Control Complexity,IP #25 and IP #1 and IP #19 and IP #7 and IP #24 and IP #16
44 Productivity,47 Ability to Detect / Measure,IP #4 and IP #32 and IP #37 and IP #25 and IP #28 and IP #18 and IP #35 and IP #24 and IP #13
44 Productivity,48 Measurement Precision,IP #1 and IP #28 and IP #19 and IP #37 and IP #4 and IP #13 and IP #24 and IP #3
45 System Complexity,01 Weight of Moving Object,IP #35 and IP #40 and IP #30 and IP #9 and IP #5 and IP #34 and IP #26 and IP #31 and IP #2
45 System Complexity,02 Weight of Stationary Object,IP #35 and IP #2 and IP #9 and IP #5 and IP #26 and IP #31 and IP #40 and IP #39
45 System Complexity,03 Length / Angle of Moving Object,IP #1 and IP #19 and IP #26 and IP #13 and IP #2 and IP #24 and IP #4
45 System Complexity,04 Length / Angle of Stationary Object,IP #9 and IP #26 and IP #28 and IP #13 and IP #2 and IP #35 and IP #24 and IP #4
45 System Complexity,05 Area of Moving Object,IP #14 and IP #1 and IP #28 and IP #13 and IP #2 and IP #35 and IP #16 and IP #17 and IP #4
