Improving Parameter,Worsening Parameter,Inventive Principles
30 Object-affected harmful factor,19 Use of energy by moving object,IP #1 and IP #24 and IP #6 and IP #27
30 Object-affected harmful factor,20 Use of energy by stationary object,IP #10 and IP #2 and IP #22 and IP #37
30 Object-affected harmful factor,21 Power,IP #19 and IP #22 and IP #31 and IP #2
30 Object-affected harmful factor,22 Loss of energy,IP #21 and IP #22 and IP #35 and IP #2
30 Object-affected harmful factor,23 Loss of substance,IP #33 and IP #22 and IP #19 and IP #40
30 Object-affected harmful factor,24 Loss of information,IP #22 and IP #10 and IP #2
30 Object-affected harmful factor,25 Loss of time,IP #35 and IP #18 and IP #34
30 Object-affected harmful factor,26 Quantity of substance,IP #35 and IP #33 and IP #29 and IP #31
30 Object-affected harmful factor,27 Reliability,IP #27 and IP #24 and IP #2 and IP #40
30 Object-affected harmful factor,28 Measurement accuracy,IP #28 and IP #33 and IP #23 and IP #26
30 Object-affected harmful factor,29 Manufacturing precision,IP #26 and IP #28 and IP #10 and IP #18
30 Object-affected harmful factor,30 Object-affected harmful factor,see physical contradiction
30 Object-affected harmful factor,31 Object-generated harmful factor,no preferred inventive principles
30 Object-affected harmful factor,32 Ease of manufacture,IP #24 and IP #35 and IP #2
30 Object-affected harmful factor,33 Ease of operation,IP #2 and IP #25 and IP #28 and IP #39
30 Object-affected harmful factor,34 Ease of repair,IP #35 and IP #10 and IP #2
30 Object-affected harmful factor,35 Adaptability or Versatility,IP #35 and IP #11 and IP #22 and IP #31
30 Object-affected harmful factor,36 Device complexity,IP #22 and IP #19 and IP #29 and IP #40
30 Object-affected harmful factor,37 Difficulty of detection,IP #22 and IP #19 and IP #29 and IP #40
30 Object-affected harmful factor,38 Extent of automation,IP #33 and IP #3 and IP #34
30 Object-affected harmful factor,39 Productivity,IP #22 and IP #35 and IP #13 and IP #24
31 Object-generated harmful factor,01 Weight of moving object,IP #19 and IP #22 and IP #15 and IP #39
31 Object-generated harmful factor,02 Weight of stationary object,IP #35 and IP #22 and IP #1 and IP #39
31 Object-generated harmful factor,03 Length of moving object,IP #17 and IP #15 and IP #16 and IP #22
31 Object-generated harmful factor,04 Length of stationary object,no preferred inventive principles
31 Object-generated harmful factor,05 Area of moving object,IP #17 and IP #2 and IP #18 and IP #39
31 Object-generated harmful factor,06 Area of stationary object,IP #22 and IP #1 and IP #40
31 Object-generated harmful factor,07 Volume of moving object,IP #17 and IP #2 and IP #40
31 Object-generated harmful factor,08 Volume of stationary object,IP #30 and IP #18 and IP #35 and IP #4
31 Object-generated harmful factor,09 Speed,IP #35 and IP #28 and IP #3 and IP #23
31 Object-generated harmful factor,10 Force (Intensity),IP #35 and IP #28 and IP #1 and IP #40
31 Object-generated harmful factor,11 Stress or pressure,IP #2 and IP #33 and IP #27 and IP #18
31 Object-generated harmful factor,12 Shape,IP #35 and IP #1
31 Object-generated harmful factor,13 Stability of the object composition,IP #35 and IP #40 and IP #27 and IP #39
31 Object-generated harmful factor,14 Strength,IP #15 and IP #35 and IP #22 and IP #2
31 Object-generated harmful factor,15 Duration of action of moving object,IP #15 and IP #22 and IP #33 and IP #31
31 Object-generated harmful factor,16 Duration of action of stationary object,IP #21 and IP #39 and IP #16 and IP #22
31 Object-generated harmful factor,17 Temperature,IP #22 and IP #35 and IP #2 and IP #24
31 Object-generated harmful factor,18 Illumination intensity,IP #19 and IP #24 and IP #39 and IP #32
31 Object-generated harmful factor,19 Use of energy by moving object,IP #2 and IP #35 and IP #6
31 Object-generated harmful factor,20 Use of energy by stationary object,IP #19 and IP #22 and IP #18
31 Object-generated harmful factor,21 Power,IP #2 and IP #35 and IP #18
31 Object-generated harmful factor,22 Loss of energy,IP #21 and IP #35 and IP #2 and IP #22
31 Object-generated harmful factor,23 Loss of substance,IP #10 and IP #1 and IP #34
31 Object-generated harmful factor,24 Loss of information,IP #10 and IP #21 and IP #29
31 Object-generated harmful factor,25 Loss of time,IP #1 and IP #22
31 Object-generated harmful factor,26 Quantity of substance,IP #3 and IP #24 and IP #39 and IP #1
31 Object-generated harmful factor,27 Reliability,IP #24 and IP #2 and IP #40 and IP #39
31 Object-generated harmful factor,28 Measurement accuracy,IP #3 and IP #33 and IP #26
31 Object-generated harmful factor,29 Manufacturing precision,IP #4 and IP #17 and IP #34 and IP #26
31 Object-generated harmful factor,30 Object-affected harmful factor,no preferred inventive principles
31 Object-generated harmful factor,31 Object-generated harmful factor,see physical contradiction
31 Object-generated harmful factor,32 Ease of manufacture,no preferred inventive principles
31 Object-generated harmful factor,33 Ease of operation,no preferred inventive principles
31 Object-generated harmful factor,34 Ease of repair,no preferred inventive principles
31 Object-generated harmful factor,35 Adaptability or Versatility,no preferred inventive principles
31 Object-generated harmful factor,36 Device complexity,IP #19 and IP #1 and IP #31
31 Object-generated harmful factor,37 Difficulty of detection,IP #2 and IP #21 and IP #27 and IP #1
31 Object-generated harmful factor,38 Extent of automation,IP #2
31 Object-generated harmful factor,39 Productivity,IP #22 and IP #35 and IP #18 and IP #39
32 Ease of manufacture,01 Weight of moving object,IP #28 and IP #29 and IP #15 and IP #16
32 Ease of manufacture,02 Weight of stationary object,IP #1 and IP #27 and IP #36 and IP #13
32 Ease of manufacture,03 Length of moving object,IP #1 and IP #29 and IP #13 and IP #17
32 Ease of manufacture,04 Length of stationary object,IP #15 and IP #17 and IP #27
32 Ease of manufacture,05 Area of moving object,IP #13 and IP #1 and IP #26 and IP #12
32 Ease of manufacture,06 Area of stationary object,IP #16 and IP #40
32 Ease of manufacture,07 Volume of moving object,IP #13 and IP #29 and IP #1 and IP #40
32 Ease of manufacture,08 Volume of stationary object,IP #35
32 Ease of manufacture,09 Speed,IP #35 and IP #13 and IP #8 and IP #1
32 Ease of manufacture,10 Force (Intensity),IP #35 and IP #12
32 Ease of manufacture,11 Stress or pressure,IP #35 and IP #19 and IP #1 and IP #37
32 Ease of manufacture,12 Shape,IP #1 and IP #28 and IP #13 and IP #27
32 Ease of manufacture,13 Stability of the object composition,IP #11 and IP #13 and IP #1
32 Ease of manufacture,14 Strength,IP #1 and IP #3 and IP #10 and IP #32
32 Ease of manufacture,15 Duration of action of moving object,IP #27 and IP #1 and IP #4
32 Ease of manufacture,16 Duration of action of stationary object,IP #35 and IP #16
32 Ease of manufacture,17 Temperature,IP #27 and IP #26 and IP #18
32 Ease of manufacture,18 Illumination intensity,IP #28 and IP #24 and IP #27 and IP #1
32 Ease of manufacture,19 Use of energy by moving object,IP #28 and IP #26 and IP #27 and IP #1
32 Ease of manufacture,20 Use of energy by stationary object,IP #1 and IP #4
32 Ease of manufacture,21 Power,IP #27 and IP #1 and IP #12 and IP #24
32 Ease of manufacture,22 Loss of energy,IP #19 and IP #35
32 Ease of manufacture,23 Loss of substance,IP #15 and IP #34 and IP #33
32 Ease of manufacture,24 Loss of information,IP #32 and IP #24 and IP #18 and IP #16
32 Ease of manufacture,25 Loss of time,IP #35 and IP #28 and IP #34 and IP #4
32 Ease of manufacture,26 Quantity of substance,IP #35 and IP #23 and IP #1 and IP #24
32 Ease of manufacture,27 Reliability,no preferred inventive principles
32 Ease of manufacture,28 Measurement accuracy,IP #1 and IP #35 and IP #12 and IP #18
32 Ease of manufacture,29 Manufacturing precision,no preferred inventive principles
32 Ease of manufacture,30 Object-affected harmful factor,IP #24 and IP #2
32 Ease of manufacture,31 Object-generated harmful factor,no preferred inventive principles
32 Ease of manufacture,32 Ease of manufacture,see physical contradiction
32 Ease of manufacture,33 Ease of operation,IP #2 and IP #5 and IP #13 and IP #16
32 Ease of manufacture,34 Ease of repair,IP #35 and IP #1 and IP #11 and IP #9
32 Ease of manufacture,35 Adaptability or Versatility,IP #2 and IP #13 and IP #15
32 Ease of manufacture,36 Device complexity,IP #27 and IP #26 and IP #1
32 Ease of manufacture,37 Difficulty of detection,IP #6 and IP #28 and IP #11 and IP #1
32 Ease of manufacture,38 Extent of automation,IP #8 and IP #28 and IP #1
32 Ease of manufacture,39 Productivity,IP #35 and IP #1 and IP #10 and IP #28
33 Ease of operation,01 Weight of moving object,IP #25 and IP #2 and IP #13 and IP #15
33 Ease of operation,02 Weight of stationary object,IP #6 and IP #13 and IP #1 and IP #25
33 Ease of operation,03 Length of moving object,IP #1 and IP #17 and IP #13 and IP #12
33 Ease of operation,04 Length of stationary object,no preferred inventive principles
33 Ease of operation,05 Area of moving object,IP #1 and IP #17 and IP #13 and IP #16
33 Ease of operation,06 Area of stationary object,IP #18 and IP #16 and IP #15 and IP #39
33 Ease of operation,07 Volume of moving object,IP #1 and IP #16 and IP #35 and IP #15
33 Ease of operation,08 Volume of stationary object,IP #4 and IP #18 and IP #39 and IP #31
33 Ease of operation,09 Speed,IP #18 and IP #13 and IP #34
33 Ease of operation,10 Force (Intensity),IP #28 and IP #13 and IP #35
33 Ease of operation,11 Stress or pressure,IP #2 and IP #32 and IP #12
33 Ease of operation,12 Shape,IP #15 and IP #34 and IP #29 and IP #28
33 Ease of operation,13 Stability of the object composition,IP #32 and IP #35 and IP #30
33 Ease of operation,14 Strength,IP #32 and IP #40 and IP #3 and IP #28
33 Ease of operation,15 Duration of action of moving object,IP #29 and IP #3 and IP #8 and IP #25
33 Ease of operation,16 Duration of action of stationary object,IP #1 and IP #16 and IP #25
33 Ease of operation,17 Temperature,IP #26 and IP #27 and IP #13
33 Ease of operation,18 Illumination intensity,IP #13 and IP #17 and IP #1 and IP #24
33 Ease of operation,19 Use of energy by moving object,IP #1 and IP #13 and IP #24
33 Ease of operation,20 Use of energy by stationary object,no preferred inventive principles
33 Ease of operation,21 Power,IP #35 and IP #34 and IP #2 and IP #10
33 Ease of operation,22 Loss of energy,IP #2 and IP #19 and IP #13
33 Ease of operation,23 Loss of substance,IP #28 and IP #32 and IP #2 and IP #24
33 Ease of operation,24 Loss of information,IP #4 and IP #10 and IP #27 and IP #22
33 Ease of operation,25 Loss of time,IP #4 and IP #28 and IP #10 and IP #34
33 Ease of operation,26 Quantity of substance,IP #12 and IP #35
33 Ease of operation,27 Reliability,IP #17 and IP #27 and IP #8 and IP #40
33 Ease of operation,28 Measurement accuracy,IP #25 and IP #13 and IP #2 and IP #34
33 Ease of operation,29 Manufacturing precision,IP #1 and IP #32 and IP #35 and IP #23
33 Ease of operation,30 Object-affected harmful factor,IP #2 and IP #25 and IP #28 and IP #39
33 Ease of operation,31 Object-generated harmful factor,no preferred inventive principles
33 Ease of operation,32 Ease of manufacture,IP #2 and IP #5 and IP #12
33 Ease of operation,33 Ease of operation,see physical contradiction
33 Ease of operation,34 Ease of repair,IP #12 and IP #26 and IP #1 and IP #32
33 Ease of operation,35 Adaptability or Versatility,IP #15 and IP #34 and IP #1 and IP #16
33 Ease of operation,36 Device complexity,IP #32 and IP #26 and IP #12 and IP #17
33 Ease of operation,37 Difficulty of detection,no preferred inventive principles
33 Ease of operation,38 Extent of automation,IP #1 and IP #34 and IP #12 and IP #3
33 Ease of operation,39 Productivity,IP #15 and IP #1 and IP #28
34 Ease of repair,01 Weight of moving object,IP #2 and IP #27 and IP #35 and IP #11
34 Ease of repair,02 Weight of stationary object,IP #2 and IP #27 and IP #35 and IP #11
34 Ease of repair,03 Length of moving object,IP #1 and IP #28 and IP #10 and IP #25
34 Ease of repair,04 Length of stationary object,IP #3 and IP #18 and IP #31
34 Ease of repair,05 Area of moving object,IP #15 and IP #13 and IP #32
34 Ease of repair,06 Area of stationary object,IP #16 and IP #25
34 Ease of repair,07 Volume of moving object,IP #25 and IP #2 and IP #35 and IP #11
34 Ease of repair,08 Volume of stationary object,IP #1
34 Ease of repair,09 Speed,IP #34 and IP #9
34 Ease of repair,10 Force (Intensity),IP #1 and IP #11 and IP #10
34 Ease of repair,11 Stress or pressure,IP #13
34 Ease of repair,12 Shape,IP #1 and IP #13 and IP #2 and IP #4
34 Ease of repair,13 Stability of the object composition,IP #2 and IP #35
34 Ease of repair,14 Strength,IP #11 and IP #1 and IP #2 and IP #9
34 Ease of repair,15 Duration of action of moving object,IP #11 and IP #29 and IP #28 and IP #27
34 Ease of repair,16 Duration of action of stationary object,IP #1
34 Ease of repair,17 Temperature,IP #4 and IP #10
34 Ease of repair,18 Illumination intensity,IP #15 and IP #1 and IP #13
34 Ease of repair,19 Use of energy by moving object,IP #15 and IP #1 and IP #28 and IP #16
34 Ease of repair,20 Use of energy by stationary object,no preferred inventive principles
34 Ease of repair,21 Power,IP #15 and IP #10 and IP #32 and IP #2
34 Ease of repair,22 Loss of energy,IP #15 and IP #1 and IP #32 and IP #19
34 Ease of repair,23 Loss of substance,IP #2 and IP #35 and IP #34 and IP #27
34 Ease of repair,24 Loss of information,no preferred inventive principles
34 Ease of repair,25 Loss of time,IP #32 and IP #1 and IP #10 and IP #25
34 Ease of repair,26 Quantity of substance,IP #2 and IP #28 and IP #10 and IP #25
34 Ease of repair,27 Reliability,IP #11 and IP #10 and IP #1 and IP #16
34 Ease of repair,28 Measurement accuracy,IP #10 and IP #2 and IP #13
34 Ease of repair,29 Manufacturing precision,IP #25 and IP #10
34 Ease of repair,30 Object-affected harmful factor,IP #35 and IP #10 and IP #2 and IP #16
34 Ease of repair,31 Object-generated harmful factor,no preferred inventive principles
34 Ease of repair,32 Ease of manufacture,IP #1 and IP #35 and IP #11 and IP #10
34 Ease of repair,33 Ease of operation,IP #1 and IP #12 and IP #26 and IP #15
34 Ease of repair,34 Ease of repair,see physical contradiction
34 Ease of repair,35 Adaptability or Versatility,IP #7 and IP #1 and IP #4 and IP #16
34 Ease of repair,36 Device complexity,IP #35 and IP #1 and IP #13 and IP #11
34 Ease of repair,37 Difficulty of detection,no preferred inventive principles
34 Ease of repair,38 Extent of automation,IP #34 and IP #35 and IP #7 and IP #13
34 Ease of repair,39 Productivity,IP #1 and IP #32 and IP #10
35 Adaptability or Versatility,01 Weight of moving object,IP #1 and IP #6 and IP #15 and IP #8
35 Adaptability or Versatility,02 Weight of stationary object,IP #19 and IP #15 and IP #29 and IP #16
35 Adaptability or Versatility,03 Length of moving object,IP #35 and IP #1 and IP #29 and IP #2
35 Adaptability or Versatility,04 Length of stationary object,IP #1 and IP #35 and IP #16
35 Adaptability or Versatility,05 Area of moving object,IP #35 and IP #30 and IP #29 and IP #7
35 Adaptability or Versatility,06 Area of stationary object,IP #15 and IP #16
35 Adaptability or Versatility,07 Volume of moving object,IP #15 and IP #35 and IP #29
35 Adaptability or Versatility,08 Volume of stationary object,no preferred inventive principles
35 Adaptability or Versatility,09 Speed,IP #35 and IP #10 and IP #14
35 Adaptability or Versatility,10 Force (Intensity),IP #15 and IP #17 and IP #20
35 Adaptability or Versatility,11 Stress or pressure,IP #35 and IP #16
35 Adaptability or Versatility,12 Shape,IP #15 and IP #37 and IP #1 and IP #8
35 Adaptability or Versatility,13 Stability of the object composition,IP #35 and IP #30 and IP #14
35 Adaptability or Versatility,14 Strength,IP #35 and IP #3 and IP #32 and IP #6
35 Adaptability or Versatility,15 Duration of action of moving object,IP #13 and IP #1 and IP #35
35 Adaptability or Versatility,16 Duration of action of stationary object,IP #2 and IP #16
35 Adaptability or Versatility,17 Temperature,IP #27 and IP #2 and IP #3 and IP #35
35 Adaptability or Versatility,18 Illumination intensity,IP #6 and IP #22 and IP #26 and IP #1
35 Adaptability or Versatility,19 Use of energy by moving object,IP #19 and IP #35 and IP #29 and IP #13
35 Adaptability or Versatility,20 Use of energy by stationary object,no preferred inventive principles
35 Adaptability or Versatility,21 Power,IP #19 and IP #1 and IP #29
35 Adaptability or Versatility,22 Loss of energy,IP #18 and IP #15 and IP #1
35 Adaptability or Versatility,23 Loss of substance,IP #15 and IP #10 and IP #2 and IP #13
35 Adaptability or Versatility,24 Loss of information,no preferred inventive principles
35 Adaptability or Versatility,25 Loss of time,IP #35 and IP #28
35 Adaptability or Versatility,26 Quantity of substance,IP #3 and IP #35 and IP #15
35 Adaptability or Versatility,27 Reliability,IP #35 and IP #13 and IP #8 and IP #24
35 Adaptability or Versatility,28 Measurement accuracy,IP #35 and IP #5 and IP #1 and IP #10
35 Adaptability or Versatility,29 Manufacturing precision,no preferred inventive principles
35 Adaptability or Versatility,30 Object-affected harmful factor,IP #35 and IP #11 and IP #32 and IP #31
35 Adaptability or Versatility,31 Object-generated harmful factor,no preferred inventive principles
35 Adaptability or Versatility,32 Ease of manufacture,IP #1 and IP #13 and IP #31
35 Adaptability or Versatility,33 Ease of operation,IP #15 and IP #34 and IP #1 and IP #16
35 Adaptability or Versatility,34 Ease of repair,IP #1 and IP #16 and IP #7 and IP #4
35 Adaptability or Versatility,35 Adaptability or Versatility,see physical contradiction
35 Adaptability or Versatility,36 Device complexity,IP #15 and IP #29 and IP #37 and IP #28
35 Adaptability or Versatility,37 Difficulty of detection,IP #1
35 Adaptability or Versatility,38 Extent of automation,IP #27 and IP #34 and IP #35
35 Adaptability or Versatility,39 Productivity,IP #35 and IP #28 and IP #6 and IP #37
36 Device complexity,01 Weight of moving object,IP #26 and IP #30 and IP #34 and IP #36
36 Device complexity,02 Weight of stationary object,IP #2 and IP #26 and IP #35 and IP #39
36 Device complexity,03 Length of moving object,IP #1 and IP #19 and IP #26 and IP #24
36 Device complexity,04 Length of stationary object,IP #26
36 Device complexity,05 Area of moving object,IP #14 and IP #1 and IP #13 and IP #16
36 Device complexity,06 Area of stationary object,IP #6 and IP #36
36 Device complexity,07 Volume of moving object,IP #34 and IP #26 and IP #6
36 Device complexity,08 Volume of stationary object,IP #1 and IP #16
36 Device complexity,09 Speed,IP #34 and IP #10 and IP #28
36 Device complexity,10 Force (Intensity),IP #26 and IP #16
36 Device complexity,11 Stress or pressure,IP #19 and IP #1 and IP #35
36 Device complexity,12 Shape,IP #29 and IP #13 and IP #28 and IP #15
36 Device complexity,13 Stability of the object composition,IP #2 and IP #22 and IP #17 and IP #19
36 Device complexity,14 Strength,IP #2 and IP #13 and IP #28
36 Device complexity,15 Duration of action of moving object,IP #10 and IP #4 and IP #28 and IP #15
36 Device complexity,16 Duration of action of stationary object,no preferred inventive principles
36 Device complexity,17 Temperature,IP #2 and IP #17 and IP #13
36 Device complexity,18 Illumination intensity,IP #24 and IP #17 and IP #13
36 Device complexity,19 Use of energy by moving object,IP #27 and IP #2 and IP #29 and IP #28
36 Device complexity,20 Use of energy by stationary object,no preferred inventive principles
36 Device complexity,21 Power,IP #20 and IP #19 and IP #30 and IP #34
36 Device complexity,22 Loss of energy,IP #10 and IP #35 and IP #13 and IP #2
36 Device complexity,23 Loss of substance,IP #35 and IP #10 and IP #28 and IP #29
36 Device complexity,24 Loss of information,no preferred inventive principles
36 Device complexity,25 Loss of time,IP #6 and IP #29
36 Device complexity,26 Quantity of substance,IP #13 and IP #3 and IP #27 and IP #10
36 Device complexity,27 Reliability,IP #13 and IP #35 and IP #1
36 Device complexity,28 Measurement accuracy,IP #2 and IP #26 and IP #10 and IP #34
36 Device complexity,29 Manufacturing precision,IP #26 and IP #24 and IP #32
36 Device complexity,30 Object-affected harmful factor,IP #22 and IP #19 and IP #29 and IP #40
36 Device complexity,31 Object-generated harmful factor,IP #19 and IP #1
36 Device complexity,32 Ease of manufacture,IP #27 and IP #26 and IP #1 and IP #13
36 Device complexity,33 Ease of operation,IP #27 and IP #9 and IP #26 and IP #24
36 Device complexity,34 Ease of repair,IP #1 and IP #13
36 Device complexity,35 Adaptability or Versatility,IP #29 and IP #15 and IP #28 and IP #37
36 Device complexity,36 Device complexity,see physical contradiction
36 Device complexity,37 Difficulty of detection,IP #15 and IP #10 and IP #37 and IP #28
36 Device complexity,38 Extent of automation,IP #15 and IP #1 and IP #24
36 Device complexity,39 Productivity,IP #12 and IP #17 and IP #28
37 Difficulty of detection,01 Weight of moving object,IP #27 and IP #26 and IP #28 and IP #13
37 Difficulty of detection,02 Weight of stationary object,IP #6 and IP #13 and IP #28 and IP #1
37 Difficulty of detection,03 Length of moving object,IP #16 and IP #17 and IP #26 and IP #24
37 Difficulty of detection,04 Length of stationary object,IP #26
37 Difficulty of detection,05 Area of moving object,IP #2 and IP #13 and IP #18 and IP #17
37 Difficulty of detection,06 Area of stationary object,IP #2 and IP #39 and IP #30 and IP #16
37 Difficulty of detection,07 Volume of moving object,IP #29 and IP #1 and IP #4 and IP #16
37 Difficulty of detection,08 Volume of stationary object,IP #2 and IP #18 and IP #26 and IP #31
37 Difficulty of detection,09 Speed,IP #3 and IP #4 and IP #16 and IP #35
37 Difficulty of detection,10 Force (Intensity),IP #30 and IP #28 and IP #40 and IP #19
37 Difficulty of detection,11 Stress or pressure,IP #35 and IP #36 and IP #37 and IP #32
37 Difficulty of detection,12 Shape,IP #27 and IP #13 and IP #1 and IP #39
37 Difficulty of detection,13 Stability of the object composition,IP #11 and IP #22 and IP #39 and IP #30
37 Difficulty of detection,14 Strength,IP #27 and IP #3 and IP #15 and IP #28
37 Difficulty of detection,15 Duration of action of moving object,IP #19 and IP #29 and IP #39 and IP #25
37 Difficulty of detection,16 Duration of action of stationary object,IP #25 and IP #34 and IP #6 and IP #35
37 Difficulty of detection,17 Temperature,IP #3 and IP #27 and IP #35 and IP #16
37 Difficulty of detection,18 Illumination intensity,IP #2 and IP #24 and IP #26
37 Difficulty of detection,19 Use of energy by moving object,IP #35 and IP #38
37 Difficulty of detection,20 Use of energy by stationary object,IP #19 and IP #35 and IP #16
37 Difficulty of detection,21 Power,IP #18 and IP #1 and IP #16 and IP #10
37 Difficulty of detection,22 Loss of energy,IP #35 and IP #3 and IP #15 and IP #19
37 Difficulty of detection,23 Loss of substance,IP #1 and IP #18 and IP #10 and IP #24
37 Difficulty of detection,24 Loss of information,IP #35 and IP #33 and IP #27 and IP #22
37 Difficulty of detection,25 Loss of time,IP #18 and IP #28 and IP #32 and IP #9
37 Difficulty of detection,26 Quantity of substance,IP #3 and IP #27 and IP #29 and IP #18
37 Difficulty of detection,27 Reliability,IP #27 and IP #40 and IP #28 and IP #8
37 Difficulty of detection,28 Measurement accuracy,IP #26 and IP #24 and IP #32 and IP #28
37 Difficulty of detection,29 Manufacturing precision,no preferred inventive principles
37 Difficulty of detection,30 Object-affected harmful factor,IP #22 and IP #19 and IP #29 and IP #28
37 Difficulty of detection,31 Object-generated harmful factor,IP #2 and IP #21
37 Difficulty of detection,32 Ease of manufacture,IP #5 and IP #28 and IP #11 and IP #29
37 Difficulty of detection,33 Ease of operation,IP #2 and IP #5
37 Difficulty of detection,34 Ease of repair,IP #12 and IP #26
37 Difficulty of detection,35 Adaptability or Versatility,IP #1 and IP #15
37 Difficulty of detection,36 Device complexity,IP #15 and IP #10 and IP #37 and IP #28
37 Difficulty of detection,37 Difficulty of detection,see physical contradiction
37 Difficulty of detection,38 Extent of automation,IP #34 and IP #21
37 Difficulty of detection,39 Productivity,IP #35 and IP #18
38 Extent of automation,01 Weight of moving object,IP #28 and IP #26 and IP #18 and IP #35
38 Extent of automation,02 Weight of stationary object,IP #28 and IP #26 and IP #35 and IP #10
38 Extent of automation,03 Length of moving object,IP #14 and IP #13 and IP #17 and IP #28
38 Extent of automation,04 Length of stationary object,IP #23
38 Extent of automation,05 Area of moving object,IP #17 and IP #14 and IP #13
38 Extent of automation,06 Area of stationary object,no preferred inventive principles
38 Extent of automation,07 Volume of moving object,IP #35 and IP #13 and IP #16
38 Extent of automation,08 Volume of stationary object,no preferred inventive principles
38 Extent of automation,09 Speed,IP #28 and IP #10
38 Extent of automation,10 Force (Intensity),IP #2 and IP #35
38 Extent of automation,11 Stress or pressure,IP #13 and IP #35
38 Extent of automation,12 Shape,IP #15 and IP #32 and IP #1 and IP #13
38 Extent of automation,13 Stability of the object composition,IP #18 and IP #1
38 Extent of automation,14 Strength,IP #25 and IP #13
38 Extent of automation,15 Duration of action of moving object,IP #6 and IP #9
38 Extent of automation,16 Duration of action of stationary object,no preferred inventive principles
38 Extent of automation,17 Temperature,IP #26 and IP #2 and IP #19
38 Extent of automation,18 Illumination intensity,IP #8 and IP #32 and IP #19
38 Extent of automation,19 Use of energy by moving object,IP #2 and IP #32 and IP #13
38 Extent of automation,20 Use of energy by stationary object,no preferred inventive principles
38 Extent of automation,21 Power,IP #28 and IP #2 and IP #27
38 Extent of automation,22 Loss of energy,IP #23 and IP #28
38 Extent of automation,23 Loss of substance,IP #35 and IP #10 and IP #18 and IP #5
38 Extent of automation,24 Loss of information,IP #35 and IP #33
38 Extent of automation,25 Loss of time,IP #24 and IP #28 and IP #35 and IP #30
38 Extent of automation,26 Quantity of substance,IP #35 and IP #13
38 Extent of automation,27 Reliability,IP #11 and IP #27 and IP #32
38 Extent of automation,28 Measurement accuracy,IP #28 and IP #26 and IP #10 and IP #34
38 Extent of automation,29 Manufacturing precision,IP #28 and IP #26 and IP #18 and IP #23
38 Extent of automation,30 Object-affected harmful factor,IP #2 and IP #33
38 Extent of automation,31 Object-generated harmful factor,IP #2
38 Extent of automation,32 Ease of manufacture,IP #1 and IP #26 and IP #13
38 Extent of automation,33 Ease of operation,IP #1 and IP #12 and IP #34 and IP #3
38 Extent of automation,34 Ease of repair,IP #1 and IP #35 and IP #13
38 Extent of automation,35 Adaptability or Versatility,IP #27 and IP #4 and IP #1 and IP #35
38 Extent of automation,36 Device complexity,IP #15 and IP #24 and IP #10
38 Extent of automation,37 Difficulty of detection,IP #34 and IP #27 and IP #25
38 Extent of automation,38 Extent of automation,see physical contradiction
38 Extent of automation,39 Productivity,IP #5 and IP #12 and IP #35 and IP #26
39 Productivity,01 Weight of moving object,IP #35 and IP #26 and IP #24 and IP #37
39 Productivity,02 Weight of stationary object,IP #28 and IP #27 and IP #15 and IP #3
39 Productivity,03 Length of moving object,IP #18 and IP #4 and IP #28 and IP #38
39 Productivity,04 Length of stationary object,IP #30 and IP #7 and IP #14 and IP #26
39 Productivity,05 Area of moving object,IP #10 and IP #26 and IP #34 and IP #31
39 Productivity,06 Area of stationary object,IP #10 and IP #35 and IP #17 and IP #7
39 Productivity,07 Volume of moving object,IP #2 and IP #6 and IP #34 and IP #10
39 Productivity,08 Volume of stationary object,IP #35 and IP #37 and IP #10 and IP #2
39 Productivity,09 Speed,no preferred inventive principles
39 Productivity,10 Force (Intensity),IP #28 and IP #15 and IP #10 and IP #36
39 Productivity,11 Stress or pressure,IP #10 and IP #37 and IP #14
39 Productivity,12 Shape,IP #14 and IP #10 and IP #34 and IP #40
39 Productivity,13 Stability of the object composition,IP #35 and IP #3 and IP #22 and IP #39
39 Productivity,14 Strength,IP #29 and IP #28 and IP #10 and IP #18
39 Productivity,15 Duration of action of moving object,IP #35 and IP #10 and IP #2 and IP #18
39 Productivity,16 Duration of action of stationary object,IP #20 and IP #10 and IP #16 and IP #38
39 Productivity,17 Temperature,IP #35 and IP #21 and IP #28 and IP #10
39 Productivity,18 Illumination intensity,IP #26 and IP #17 and IP #19 and IP #1
39 Productivity,19 Use of energy by moving object,IP #35 and IP #10 and IP #38 and IP #19
39 Productivity,20 Use of energy by stationary object,IP #1
39 Productivity,21 Power,IP #35 and IP #20 and IP #10
39 Productivity,22 Loss of energy,IP #28 and IP #10 and IP #29 and IP #35
39 Productivity,23 Loss of substance,IP #28 and IP #10 and IP #35 and IP #23
39 Productivity,24 Loss of information,IP #13 and IP #15 and IP #23
39 Productivity,25 Loss of time,no preferred inventive principles
39 Productivity,26 Quantity of substance,IP #35 and IP #38
39 Productivity,27 Reliability,IP #1 and IP #35 and IP #10 and IP #38
39 Productivity,28 Measurement accuracy,IP #1 and IP #10 and IP #34 and IP #28
39 Productivity,29 Manufacturing precision,IP #18 and IP #10 and IP #32 and IP #1
39 Productivity,30 Object-affected harmful factor,IP #22 and IP #35 and IP #13 and IP #24
39 Productivity,31 Object-generated harmful factor,IP #35 and IP #22 and IP #18 and IP #39
39 Productivity,32 Ease of manufacture,IP #35 and IP #28 and IP #2 and IP #24
